ID MUESTRA,ID COTI,PE ID
2632838,227771,261827
2632837,227771,261827
2632807,227792,261826
2632806,227792,261826
2632717,227895,261825
2632716,227895,261825
2633134,243776,261734
2633133,243776,261734
2633132,243775,261733
2633129,243775,261733
2633127,243774,261732
2633126,243774,261732
2633125,243773,261731
2633124,243773,261731
2633120,243771,261730
2633119,243771,261730
2633114,243767,261729
2633113,243767,261729
2633112,243765,261728
2633111,243765,261728
2633110,243764,261727
2633108,243764,261727
2633107,243763,261726
2633106,243763,261726
2633105,243757,261725
2633104,243757,261725
2633101,243756,261724
2633100,243756,261724
2633099,243755,261723
2633097,243755,261723
2633095,243754,261722
2633089,243754,261722
2633088,243753,261721
2633087,243753,261721
2633086,243752,261719
2633085,243752,261719
2633081,243751,261718
2633080,243751,261718
2633079,243750,261717
2633078,243750,261717
2633077,243749,261716
2633074,243749,261716
2633072,243748,261715
2633070,243748,261715
2633069,243747,261714
2633068,243747,261714
2633064,243746,261713
2633063,243746,261713
2633062,243744,261712
2633060,243744,261712
2633058,243743,261711
2633055,243743,261711
2633054,243742,261710
2633053,243742,261710
2633052,243739,261709
2633050,243739,261709
2633044,243738,261708
2633043,243738,261708
2633504,243736,261707
2633042,243736,261707
2633040,243736,261707
2633038,243736,261707
2633030,243736,261707
2633028,243736,261707
2633027,243736,261707
2633026,242995,261706
2633025,242995,261706
2633019,242995,261706
2633016,242995,261706
2633015,242995,261706
2633014,242995,261706
2633012,242995,261706
2633005,242995,261706
2633004,242995,261706
2633003,242995,261706
2633002,242995,261706
2633000,242995,261706
2632993,240674,261705
2632990,233266,261704
2632987,233266,261704
2632981,228951,261703
2632979,228951,261703
2632978,228951,261703
2632977,259558,261702
2632973,259558,261702
2632972,259558,261702
2632971,259557,261701
2632968,259557,261701
2632967,259555,261699
2632956,259555,261699
2632955,259555,261699
2632954,259553,261698
2632952,259553,261698
2632951,227793,261696
2632945,227793,261696
2632943,227827,261695
2632942,227827,261695
2632941,227832,261694
2632939,227832,261694
2632933,227816,261693
2632931,227816,261693
2632929,227678,261691
2632926,227678,261691
2632919,227823,261690
2632918,227823,261690
2632917,227757,261689
2632916,227757,261689
2632914,227906,261688
2632913,227906,261688
2632912,227733,261687
2632910,227733,261687
2632909,227783,261686
2632906,227783,261686
2632905,227766,261684
2632904,227766,261684
2632903,227746,261681
2632900,227746,261681
2632897,227787,261680
2632896,227787,261680
2632895,227673,261679
2632894,227673,261679
2632893,227890,261678
2632887,227890,261678
2632886,227786,261677
2632885,227786,261677
2632883,227900,261676
2632882,227900,261676
2632874,227901,261674
2632873,227901,261674
2632872,227631,261673
2632871,227631,261673
2632870,227676,261672
2632867,227676,261672
2632865,227756,261671
2632864,227756,261671
2632860,227831,261669
2632859,227831,261669
2632855,227754,261668
2632853,227754,261668
2632852,227735,261667
2632851,227735,261667
2632849,227680,261666
2632844,227680,261666
2632841,227668,261665
2632840,227668,261665
2632805,227633,261644
2632804,227633,261644
2632799,227755,261642
2632798,227755,261642
2632796,227765,261641
2632795,227765,261641
2632794,227747,261640
2632791,227747,261640
2632789,227782,261639
2632788,227782,261639
2632787,227829,261638
2632786,227829,261638
2632785,227769,261637
2632784,227769,261637
2632782,227882,261636
2632781,227882,261636
2632779,227904,261635
2632778,227904,261635
2632777,227781,261634
2632776,227781,261634
2632775,230997,261633
2632774,230997,261633
2632764,230994,261632
2632763,230994,261632
2632756,230991,261631
2632755,230991,261631
2632748,230984,261630
2632747,230984,261630
2632744,227899,261629
2632743,227899,261629
2632742,230982,261628
2632741,230982,261628
2632831,227664,261627
2632829,227664,261627
2632740,227664,261627
2632739,227664,261627
2632738,230981,261626
2632737,230981,261626
2632733,230980,261625
2632732,230980,261625
2632729,230977,261623
2632728,230977,261623
2632727,230975,261622
2632726,230975,261622
2632725,230973,261621
2632724,230973,261621
2633191,227896,261620
2633190,227896,261620
2632723,227896,261620
2632722,227896,261620
2632721,227897,261619
2632720,227897,261619
2632719,227892,261618
2632718,227892,261618
2633504,243736,261819
2633484,258214,261818
2633483,258214,261818
2633482,258214,261818
2633481,258214,261818
2633479,258214,261818
2633468,259964,261817
2633467,259963,261815
2633466,259963,261815
2633465,259963,261815
2633464,259963,261815
2633460,259963,261815
2633459,259963,261815
2633420,259942,261814
2633419,259942,261814
2633418,257994,261813
2633416,257994,261813
2633414,257994,261813
2633413,257994,261813
2633412,257985,261812
2633411,257985,261812
2633410,257985,261812
2633409,257985,261812
2633408,257985,261812
2633407,257985,261812
2633404,257985,261812
2633403,257985,261812
2633402,257985,261812
2633401,257985,261812
2633400,257985,261812
2633406,257985,261812
2633305,254998,261811
2633284,242155,261810
2633283,242155,261810
2633282,242155,261810
2633281,242155,261810
2633278,242155,261810
2633277,242155,261810
2633266,259945,261808
2633264,253081,261807
2633263,259559,261806
2633242,249889,261805
2633240,249889,261805
2633239,249889,261805
2633238,249889,261805
2633236,249889,261805
2633235,249889,261805
2633191,227896,261804
2633190,227896,261804
2633188,246701,261803
2633187,246701,261803
2633186,246701,261803
2633185,246701,261803
2633184,246701,261803
2633178,246701,261803
2633175,244845,261801
2633174,244845,261801
2633364,244254,261800
2633362,244254,261800
2633140,244254,261800
2633139,243791,261799
2632831,227664,261664
2632829,227664,261664
2632924,227788,261663
2632920,227788,261663
2632828,227788,261663
2632826,227788,261663
2632823,227752,261662
2632821,227752,261662
2632820,227785,261660
2632819,227785,261660
2632818,227912,261658
2632816,227912,261658
2632814,227818,261657
2632813,227818,261657
2632812,227791,261656
2632811,227791,261656
2632810,227820,261655
2632808,227820,261655
2632715,227898,261617
2632714,227898,261617
2632713,227885,261616
2632712,227885,261616
